   R(  1,  0) =       1.5400
   R(  2,  0) =       2.6674
   R(  2,  1) =       1.5401
   R(  3,  0) =       5.5527
   R(  3,  1) =       5.3349
   R(  3,  2) =       4.0745
   R(  4,  0) =       3.0801
   R(  4,  1) =       2.6674
   R(  4,  2) =       1.5400
   R(  4,  3) =       2.6674
   R(  5,  0) =       7.0573
   R(  5,  1) =       6.7128
   R(  5,  2) =       5.3347
   R(  5,  3) =       1.5400
   R(  5,  4) =       4.0745
   R(  6,  0) =       8.1491
   R(  6,  1) =       8.0023
   R(  6,  2) =       6.7128
   R(  6,  3) =       2.6674
   R(  6,  4) =       5.3349
   R(  6,  5) =       1.5401
   R(  7,  0) =       8.0023
   R(  7,  1) =       8.1491
   R(  7,  2) =       7.0573
   R(  7,  3) =       3.0801
   R(  7,  4) =       5.5527
   R(  7,  5) =       2.6674
   R(  7,  6) =       1.5400
   R(  8,  0) =       5.3349
   R(  8,  1) =       5.5527
   R(  8,  2) =       4.6200
   R(  8,  3) =       1.5400
   R(  8,  4) =       3.0801
   R(  8,  5) =       2.6673
   R(  8,  6) =       3.0801
   R(  8,  7) =       2.6674
   R(  9,  0) =       6.7128
   R(  9,  1) =       7.0573
   R(  9,  2) =       6.1600
   R(  9,  3) =       2.6673
   R(  9,  4) =       4.6200
   R(  9,  5) =       3.0800
   R(  9,  6) =       2.6674
   R(  9,  7) =       1.5401
   R(  9,  8) =       1.5400
   R( 10,  0) =       1.5401
   R( 10,  1) =       2.6674
   R( 10,  2) =       3.0800
   R( 10,  3) =       4.6200
   R( 10,  4) =       2.6673
   R( 10,  5) =       6.1600
   R( 10,  6) =       7.0573
   R( 10,  7) =       6.7128
   R( 10,  8) =       4.0745
   R( 10,  9) =       5.3347
   R( 11,  0) =       2.6674
   R( 11,  1) =       3.0801
   R( 11,  2) =       2.6673
   R( 11,  3) =       3.0801
   R( 11,  4) =       1.5400
   R( 11,  5) =       4.6200
   R( 11,  6) =       5.5527
   R( 11,  7) =       5.3349
   R( 11,  8) =       2.6674
   R( 11,  9) =       4.0745
   R( 11, 10) =       1.5400
   R( 12,  0) =       4.0745
   R( 12,  1) =       4.6200
   R( 12,  2) =       4.0744
   R( 12,  3) =       2.6674
   R( 12,  4) =       2.6673
   R( 12,  5) =       4.0745
   R( 12,  6) =       4.6202
   R( 12,  7) =       4.0746
   R( 12,  8) =       1.5401
   R( 12,  9) =       2.6674
   R( 12, 10) =       2.6673
   R( 12, 11) =       1.5400
   R( 13,  0) =       2.6672
   R( 13,  1) =       4.0743
   R( 13,  2) =       4.6198
   R( 13,  3) =       5.5525
   R( 13,  4) =       4.0743
   R( 13,  5) =       7.0571
   R( 13,  6) =       7.7001
   R( 13,  7) =       7.0573
   R( 13,  8) =       4.6200
   R( 13,  9) =       5.5526
   R( 13, 10) =       1.5398
   R( 13, 11) =       2.6672
   R( 13, 12) =       3.0799
   R( 14,  0) =       7.0573
   R( 14,  1) =       7.7002
   R( 14,  2) =       7.0572
   R( 14,  3) =       4.0745
   R( 14,  4) =       5.5527
   R( 14,  5) =       4.6201
   R( 14,  6) =       4.0745
   R( 14,  7) =       2.6674
   R( 14,  8) =       2.6674
   R( 14,  9) =       1.5401
   R( 14, 10) =       5.5526
   R( 14, 11) =       4.6201
   R( 14, 12) =       3.0801
   R( 14, 13) =       5.3349
   R( 15,  0) =       4.0744
   R( 15,  1) =       5.3346
   R( 15,  2) =       5.5524
   R( 15,  3) =       5.3346
   R( 15,  4) =       4.6199
   R( 15,  5) =       6.7126
   R( 15,  6) =       7.0572
   R( 15,  7) =       6.1601
   R( 15,  8) =       4.0744
   R( 15,  9) =       4.6200
   R( 15, 10) =       2.6672
   R( 15, 11) =       3.0799
   R( 15, 12) =       2.6672
   R( 15, 13) =       1.5401
   R( 15, 14) =       4.0745
   R( 16,  0) =       4.6200
   R( 16,  1) =       5.5526
   R( 16,  2) =       5.3346
   R( 16,  3) =       4.0744
   R( 16,  4) =       4.0744
