   R( 1, 1)=       0.0000
   R( 2, 1)=       0.0000
   R( 3, 1)=       3.2894
   R( 4, 1)=       3.2806
   R( 5, 1)=       3.3645
   R( 6, 1)=       1.7447
   R( 7, 1)=       1.7447
   R( 2, 2)=       0.0000
   R( 3, 2)=       3.2894
   R( 4, 2)=       3.2806
   R( 5, 2)=       3.3645
   R( 6, 2)=       1.7447
   R( 7, 2)=       1.7447
   R( 3, 3)=       0.0000
   R( 4, 3)=       6.5700
   R( 5, 3)=       0.0751
   R( 6, 3)=       5.0341
   R( 7, 3)=       5.0341
   R( 4, 4)=       0.0000
   R( 5, 4)=       6.6451
   R( 6, 4)=       1.5359
   R( 7, 4)=       1.5359
   R( 5, 5)=       0.0000
   R( 6, 5)=       5.1092
   R( 7, 5)=       5.1092
   R( 6, 6)=       0.0000
   R( 7, 6)=       0.0000
   R( 7, 7)=       0.0000
