   R(  1,  0) =       1.5400
   R(  2,  0) =       1.5400
   R(  2,  1) =       2.6674
   R(  3,  0) =       2.6674
   R(  3,  1) =       4.0745
   R(  3,  2) =       1.5400
   R(  4,  0) =       4.6200
   R(  4,  1) =       5.5526
   R(  4,  2) =       3.0800
   R(  4,  3) =       2.6673
   R(  5,  0) =       4.0745
   R(  5,  1) =       5.3348
   R(  5,  2) =       2.6674
   R(  5,  3) =       1.5400
   R(  5,  4) =       1.5400
   R(  6,  0) =       5.3348
   R(  6,  1) =       6.7128
   R(  6,  2) =       4.0745
   R(  6,  3) =       2.6674
   R(  6,  4) =       2.6674
   R(  6,  5) =       1.5400
   R(  7,  0) =       6.1600
   R(  7,  1) =       7.0572
   R(  7,  2) =       4.6200
   R(  7,  3) =       4.0744
   R(  7,  4) =       1.5400
   R(  7,  5) =       2.6673
   R(  7,  6) =       3.0800
   R(  8,  0) =       7.0572
   R(  8,  1) =       8.1490
   R(  8,  2) =       5.5526
   R(  8,  3) =       4.6200
   R(  8,  4) =       2.6674
   R(  8,  5) =       3.0800
   R(  8,  6) =       2.6673
   R(  8,  7) =       1.5400
   R(  9,  0) =       8.5744
   R(  9,  1) =       9.6174
   R(  9,  2) =       7.0572
   R(  9,  3) =       6.1600
   R(  9,  4) =       4.0745
   R(  9,  5) =       4.6200
   R(  9,  6) =       4.0744
   R(  9,  7) =       2.6674
   R(  9,  8) =       1.5400
   R( 10,  0) =       9.2400
   R( 10,  1) =      10.0985
   R( 10,  2) =       7.7000
   R( 10,  3) =       7.0571
   R( 10,  4) =       4.6200
   R( 10,  5) =       5.5525
   R( 10,  6) =       5.3347
   R( 10,  7) =       3.0800
   R( 10,  8) =       2.6673
   R( 10,  9) =       1.5400
   R( 11,  0) =       8.5743
   R( 11,  1) =       9.2400
   R( 11,  2) =       7.0571
   R( 11,  3) =       6.7127
   R( 11,  4) =       4.0744
   R( 11,  5) =       5.3347
   R( 11,  6) =       5.5525
   R( 11,  7) =       2.6673
   R( 11,  8) =       3.0800
   R( 11,  9) =       2.6674
   R( 11, 10) =       1.5400
   R( 12,  0) =       7.0571
   R( 12,  1) =       7.7000
   R( 12,  2) =       5.5525
   R( 12,  3) =       5.3347
   R( 12,  4) =       2.6673
   R( 12,  5) =       4.0744
   R( 12,  6) =       4.6200
   R( 12,  7) =       1.5400
   R( 12,  8) =       2.6674
   R( 12,  9) =       3.0801
   R( 12, 10) =       2.6674
   R( 12, 11) =       1.5400
   R( 13,  0) =       9.6172
   R( 13,  1) =      10.0984
   R( 13,  2) =       8.1489
   R( 13,  3) =       8.0020
   R( 13,  4) =       5.3347
   R( 13,  5) =       6.7127
   R( 13,  6) =       7.0571
   R( 13,  7) =       4.0744
   R( 13,  8) =       4.6200
   R( 13,  9) =       4.0745
   R( 13, 10) =       2.6674
   R( 13, 11) =       1.5400
   R( 13, 12) =       2.6673
   R( 14,  0) =       9.3674
   R( 14,  1) =       9.6172
   R( 14,  2) =       8.0020
   R( 14,  3) =       8.1489
   R( 14,  4) =       5.5525
   R( 14,  5) =       7.0571
   R( 14,  6) =       7.7000
   R( 14,  7) =       4.6200
   R( 14,  8) =       5.5526
   R( 14,  9) =       5.3348
   R( 14, 10) =       4.0745
   R( 14, 11) =       2.6674
   R( 14, 12) =       3.0800
   R( 14, 13) =       1.5400
   R( 15,  0) =      10.7799
   R( 15,  1) =      10.6694
   R( 15,  2) =       9.6172
   R( 15,  3) =      10.0984
   R( 15,  4) =       7.7000
   R( 15,  5) =       9.2400
   R( 15,  6) =      10.0985
   R( 15,  7) =       7.0572
   R( 15,  8) =       8.1490
   R( 15,  9) =       8.0022
   R( 15, 10) =       6.7128
   R( 15, 11) =       5.3348
   R( 15, 12) =       5.5526
   R( 15, 13) =       4.0745
   R( 15, 14) =       2.6674
   R( 16,  0) =      10.6694
   R( 16,  1) =      10.7799
   R( 16,  2) =       9.3674
   R( 16,  3) =       9.6172
   R( 16,  4) =       7.0571
   R( 16,  5) =       8.5743
   R( 16,  6) =       9.2400
   R( 16,  7) =       6.1600
   R( 16,  8) =       7.0572
   R( 16,  9) =       6.7128
   R( 16, 10) =       5.3348
   R( 16, 11) =       4.0745
   R( 16, 12) =       4.6200
   R( 16, 13) =       2.6674
   R( 16, 14) =       1.5400
   R( 16, 15) =       1.5400
   R( 17,  0) =       2.6674
   R( 17,  1) =       1.5400
   R( 17,  2) =       3.0801
   R( 17,  3) =       4.6201
   R( 17,  4) =       5.3348
   R( 17,  5) =       5.5527
   R( 17,  6) =       7.0573
   R( 17,  7) =       6.7128
   R( 17,  8) =       8.0022
   R( 17,  9) =       9.3676
   R( 17, 10) =       9.6174
   R( 17, 11) =       8.5744
   R( 17, 12) =       7.0572
   R( 17, 13) =       9.2400
   R( 17, 14) =       8.5743
   R( 17, 15) =       9.3674
   R( 17, 16) =       9.6172
   R( 18,  0) =       9.6172
   R( 18,  1) =       9.3674
   R( 18,  2) =       8.5743
   R( 18,  3) =       9.2400
   R( 18,  4) =       7.0572
   R( 18,  5) =       8.5744
   R( 18,  6) =       9.6174
   R( 18,  7) =       6.7128
   R( 18,  8) =       8.0022
   R( 18,  9) =       8.1491
   R( 18, 10) =       7.0573
   R( 18, 11) =       5.5527
   R( 18, 12) =       5.3348
   R( 18, 13) =       4.6201
   R( 18, 14) =       3.0801
   R( 18, 15) =       1.5400
   R( 18, 16) =       2.6674
   R( 18, 17) =       8.0020
   R( 19,  0) =       4.1317
   R( 19,  1) =       4.6706
   R( 19,  2) =       2.7257
   R( 19,  3) =       3.1306
   R( 19,  4) =       1.5411
   R( 19,  5) =       2.6970
   R( 19,  6) =       4.0940
   R( 19,  7) =       2.6387
   R( 19,  8) =       4.0558
   R( 19,  9) =       5.3059
   R( 19, 10) =       5.5107
   R( 19, 11) =       4.5696
   R( 19, 12) =       3.0296
   R( 19, 13) =       5.4965
   R( 19, 14) =       5.2763
   R( 19, 15) =       7.0020
   R( 19, 16) =       6.6547
   R( 19, 17) =       4.1129
   R( 19, 18) =       6.1095
   R( 20,  0) =       2.7257
   R( 20,  1) =       3.1306
   R( 20,  2) =       1.5908
   R( 20,  3) =       2.6970
   R( 20,  4) =       2.6387
   R( 20,  5) =       3.0806
   R( 20,  6) =       4.6205
   R( 20,  7) =       4.0365
   R( 20,  8) =       5.3059
   R( 20,  9) =       6.6782
   R( 20, 10) =       7.0132
   R( 20, 11) =       6.1095
   R( 20, 12) =       4.5696
   R( 20, 13) =       7.0020
   R( 20, 14) =       6.6547
   R( 20, 15) =       8.0916
   R( 20, 16) =       7.9437
   R( 20, 17) =       2.6970
   R( 20, 18) =       7.0020
   R( 20, 19) =       1.5400
   R( 21,  0) =       3.1306
   R( 21,  1) =       2.7257
   R( 21,  2) =       2.6970
   R( 21,  3) =       4.0940
   R( 21,  4) =       4.0558
   R( 21,  5) =       4.6205
   R( 21,  6) =       6.1604
   R( 21,  7) =       5.3059
   R( 21,  8) =       6.6898
   R( 21,  9) =       7.9732
   R( 21, 10) =       8.1109
   R( 21, 11) =       7.0132
   R( 21, 12) =       5.5107
   R( 21, 13) =       7.6495
   R( 21, 14) =       7.0020
   R( 21, 15) =       7.9437
   R( 21, 16) =       8.0916
   R( 21, 17) =       1.5908
   R( 21, 18) =       6.6547
   R( 21, 19) =       2.6674
   R( 21, 20) =       1.5400
   R( 22,  0) =       8.0020
   R( 22,  1) =       8.1489
   R( 22,  2) =       6.7127
   R( 22,  3) =       7.0571
   R( 22,  4) =       4.6200
   R( 22,  5) =       6.1600
   R( 22,  6) =       7.0572
   R( 22,  7) =       4.0745
   R( 22,  8) =       5.3348
   R( 22,  9) =       5.5527
   R( 22, 10) =       4.6201
   R( 22, 11) =       3.0801
   R( 22, 12) =       2.6674
   R( 22, 13) =       2.6674
   R( 22, 14) =       1.5400
   R( 22, 15) =       3.0800
   R( 22, 16) =       2.6673
   R( 22, 17) =       7.0571
   R( 22, 18) =       2.6674
   R( 22, 19) =       4.0172
   R( 22, 20) =       5.2763
   R( 22, 21) =       5.4965
   R( 23,  0) =       6.7127
   R( 23,  1) =       7.0571
   R( 23,  2) =       5.3347
   R( 23,  3) =       5.5525
   R( 23,  4) =       3.0800
   R( 23,  5) =       4.6200
   R( 23,  6) =       5.5526
   R( 23,  7) =       2.6674
   R( 23,  8) =       4.0745
   R( 23,  9) =       4.6201
   R( 23, 10) =       4.0745
   R( 23, 11) =       2.6674
   R( 23, 12) =       1.5400
   R( 23, 13) =       3.0800
   R( 23, 14) =       2.6673
   R( 23, 15) =       4.6200
   R( 23, 16) =       4.0744
   R( 23, 17) =       6.1600
   R( 23, 18) =       4.0745
   R( 23, 19) =       2.6090
   R( 23, 20) =       4.0172
   R( 23, 21) =       4.5696
   R( 23, 22) =       1.5400
   R( 24,  0) =       5.3930
   R( 24,  1) =       5.6086
   R( 24,  2) =       4.1317
   R( 24,  3) =       4.6706
   R( 24,  4) =       2.6970
   R( 24,  5) =       4.1129
   R( 24,  6) =       5.3642
   R( 24,  7) =       3.0806
   R( 24,  8) =       4.6205
   R( 24,  9) =       5.5389
   R( 24, 10) =       5.3059
   R( 24, 11) =       4.0365
   R( 24, 12) =       2.6387
   R( 24, 13) =       4.5696
   R( 24, 14) =       4.0172
   R( 24, 15) =       5.4965
   R( 24, 16) =       5.2763
